Cusp_ID,Id,Cycloid_Nu,Confidence,CompassA,DirMean,CirVar,AveX,AveY,AveLen,Lat_dd,Long_dd
38,13,13,2,307.8749837,142.1250163,0,-4303795.839,-53952.55608,5430.096322,-1.979,22.141
39,14,13,2,106.6069806,343.3930194,0,-4135361.752,-121262.6907,9442.641833,-4.448,28.319
39,14,13,2,318.8140748,131.1859252,0,-4144410.52,-115785.8047,8437.695114,-4.247,27.987
40,5,13,1,82.69424047,7.305759533,0,4362625.711,162821.0025,12483.87303,5.972,-19.984
40,5,13,1,321.1155036,128.8844964,0,4353021.317,165281.6324,6322.170356,6.062,-20.336
41,6,13,1,70.40771811,19.59228189,0,4446842.754,153057.8579,9941.877262,5.614,-16.895
41,6,13,1,307.0928373,142.9071627,0,4437317.735,154486.6108,8159.82809,5.666,-17.244
42,7,13,1,56.59217541,33.40782459,0,4571779.254,142262.8364,8938.079921,5.218,-12.312
42,7,13,1,301.3902681,148.6097319,0,4561619.234,143294.7134,10972.1623,5.256,-12.685
43,8,13,1,71.86191784,18.13808216,0,4701716.389,140516.5829,9688.972898,5.154,-7.546
43,8,13,1,303.2065703,146.7934297,0,4691159.493,142183.4612,10435.34317,5.215,-7.933
44,9,13,1,83.65980825,6.340191746,0,4868324.847,116386.5346,10062.81686,4.269,-1.435
44,9,13,1,317.9356734,132.0643266,0,4859117.329,120514.0429,8767.272842,4.42,-1.773
45,10,13,1,89.42127443,0.578725566,0,-4741629.215,43996.38982,15717.08318,1.614,6.082
45,10,13,1,331.3268535,118.6731465,0,-4753694.239,50108.27704,11580.07126,1.838,5.64
46,11,13,1,79.79602628,10.20397372,0,-4644712.146,24311.35045,8065.078611,0.892,9.637
46,11,13,1,297.897271,152.102729,0,-4654316.54,26533.85489,9160.869981,0.973,9.285
47,12,13,1,72.1496817,17.8503183,0,-4523030.027,-17281.23274,9839.958863,-0.634,14.1
47,12,13,1,316.397181,133.602819,0,-4532634.422,-14820.60282,9207.518415,-0.544,13.748
48,1,14,1,85.42607874,4.57392126,0,3844345.612,-156419.2714,6635.729513,-5.737,-38.994
48,1,14,1,227.1210964,222.8789036,0,3839186.226,-158403.6504,5054.867595,-5.81,-39.183
49,2,14,1,108.4349488,341.5650512,0,3879799.849,-142264.0348,4183.438188,-5.218,-37.693
49,2,14,1,230.1944289,219.8055711,0,3875434.216,-143586.9541,6199.398079,-5.267,-37.853
50,3,14,1,91.78991061,358.2100894,0,3928350.988,-106545.2133,8470.816714,-3.908,-35.912
50,3,14,1,211.6075022,238.3924978,0,3922000.975,-109852.5116,8077.39476,-4.029,-36.145
51,4,14,1,72.80145878,17.19854122,0,3969427.633,-86800.64261,8724.499911,-3.184,-34.406
51,4,14,1,213.6900675,236.3099325,0,3963276.058,-91067.05739,7154.780122,-3.34,-34.631
52,5,14,1,98.13010235,351.8698976,0,4003360.513,-67452.94766,5612.671301,-2.474,-33.161
52,5,14,1,233.1301024,216.8698976,0,3997804.252,-69139.66979,6945.326391,-2.536,-33.365
53,6,14,1,84.40066066,5.599339337,0,4062395.787,-15958.31343,10168.85317,-0.585,-30.996
53,6,14,1,202.5205656,247.4794344,0,4054061.396,-21911.45033,8807.602958,-0.804,-31.301
54,7,14,1,66.27960443,23.72039557,0,4140084.224,86832.51716,14305.43189,3.185,-28.146
54,7,14,1,180,270,0,4131749.832,77109.06021,9723.456947,2.828,-28.452
55,1,15,1,81.72410717,8.275892827,0,3782800.374,-197601.7496,8823.147848,-7.248,-41.251
55,1,15,1,217.4505782,232.5494218,0,3773037.229,-203713.6369,9398.50147,-7.472,-41.609
56,1,16,1,146.0702026,303.9297974,0,3784520.61,-65369.68048,7015.415045,-2.398,-41.188
56,1,16,1,266.8636416,183.1363584,0,3777323.929,-62035.92381,7737.438289,-2.275,-41.452
57,2,16,1,143.5691419,306.4308581,0,3943747.178,-96431.82593,11049.34649,-3.537,-35.348
57,2,16,1,259.4608163,190.5391837,0,3934327.993,-92939.31895,9257.864588,-3.409,-35.693
58,3,16,1,149.5804204,300.4195796,0,4088209.967,-154799.026,13377.37683,-5.678,-30.049
58,3,16,1,253.0091767,196.9908233,0,4077944.113,-149877.7662,7967.797064,-5.497,-30.425
59,1,17,1,152.730528,297.269472,0,3961818.256,-188123.3635,11549.4417,-6.9,-34.685
59,1,17,1,261.098284,188.901716,0,3953192.822,-183360.854,8891.277614,-6.725,-35.001
60,1,18,1,145.713123,304.286877,0,3836118.873,-212686.6678,10567.63316,-7.801,-39.295
60,1,18,1,239.7435628,210.2564372,0,3826990.729,-210801.5078,8270.362103,-7.732,-39.63
61,2,18,1,152.102729,297.897271,0,3958058.96,-236399.9965,11451.08748,-8.671,-34.823
61,2,18,1,255.9637565,194.0362435,0,3947640.971,-232133.5817,11454.52573,-8.514,-35.205
62,3,18,1,131.1859252,318.8140748,0,4129211.646,-255251.5967,10547.11889,-9.362,-28.545
62,3,18,1,252.2553284,197.7446716,0,4115817.088,-254557.0641,15626.27566,-9.337,-29.036
63,1,19,3,108.4349488,341.5650512,0,4070742.581,-284773.8641,5522.138408,-10.445,-30.69
63,1,19,3,252.9430344,197.0569656,0,4057963.181,-286043.8666,14612.79211,-10.492,-31.158
64,2,19,3,119.1342922,330.8657078,0,4139640.219,-275328.2202,11086.41114,-10.099,-28.162
64,2,19,3,251.5650512,198.4349488,0,4129083.323,-273740.717,6024.150991,-10.041,-28.55
65,3,19,3,101.1291893,348.8708107,0,4185995.312,-278979.4775,9869.368201,-10.233,-26.462
65,3,19,3,250.2531634,199.7468366,0,4175676.541,-279773.2291,6578.089076,-10.262,-26.841
66,4,19,3,92.86240523,357.1375948,0,4250368.566,-257310.0591,9536.917892,-9.438,-24.101
66,4,19,3,223.0908476,226.9091524,0,4241081.672,-260326.3152,6738.946303,-9.548,-24.442
67,1,20,1,115.4633451,334.5366549,0,4322652.877,-104631.9413,7384.876397,-3.838,-21.45
67,1,20,1,254.0546041,195.9453959,0,4315191.612,-103996.94,4622.879025,-3.814,-21.723
68,1,21,1,121.5347919,328.4652081,0,4476640.685,-87407.53184,8195.268922,-3.206,-15.802
68,1,21,1,244.093492,205.906508,0,4468465.044,-86931.28089,6176.99913,-3.189,-16.102
69,1,22,1,84.42136374,5.578636255,0,4306387.584,-52112.04459,22862.49544,-1.911,-22.046
69,1,22,1,202.6198649,247.3801351,0,4291041.72,-61478.31332,15134.19694,-2.255,-22.609
70,2,22,3,90,0,0,4484558.357,-12794.88262,8678.35069,-0.469,-15.511
70,2,22,3,239.0362435,210.9637565,0,4474715.837,-15969.88897,7405.323717,-0.586,-15.872
